"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"OT-991","HSPA 7.2/0.384 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1700 / 2100","HSDPA 850 / 1900 / 2100","Class 12","GSM / HSPA","Available. Released 2012, Q3","Mini-SIM","","2012, February","122 x 68 x 10.8 mm (4.80 x 2.68 x 0.43 in)","131.3 g (4.62 oz)","320 x 480 pixels (~144 ppi pixel density)","Yes","TFT capacitive touchscreen, 256K colors","4.0 inches (~57.4% screen-to-body ratio)","Mediatek MT6573","Android 2.3 (Gingerbread)","800 MHz Cortex-A9","PowerVR SGX531","150 MB","microSD, up to 32 GB (dedicated slot)","Yes","Yes","3.15 MP, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, IM","Accelerometer, proximity, compass","Yes, via Java MIDP emulator","WAP 2.0/xHTML, HTML","Up to 400 h","Removable Li-Ion 1500 mAh battery","","<a href=""#"">3/10</a>","Black, White","","","","","","","","","0.54 W/kg (head)     0.84 W/kg (body)    ","","","","","","","","","alcatel","","","","","122","10.8","68","131.3","4.62","","32","320","480","144","3","4.0","57.4"
"OT-992D","Yes","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 7.2/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2012","Dual SIM (Mini-SIM, dual stand-by)","","2012","124 x 64.2 x 10.7 mm (4.88 x 2.53 x 0.42 in)","-","480 x 800 pixels (~233 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","4.0 inches (~57.2% screen-to-body ratio)","Mediatek MT6577","Android 4.0 (Ice Cream Sandwich)","Dual-core 1.0 GHz Cortex-A9","PowerVR SGX531u","4 GB, 512 MB RAM","microSD, up to 32 GB (dedicated slot)","VGA","720p@30fps","5 MP, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","4.0, A2DP","FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, IM","Accelerometer","No","HTML","Up to 700 h (2G) / Up to 400 h (3G)","Removable Li-Ion 1500 mAh battery","","","Black, White, Red, Gold","","","","","","","","","0.48 W/kg (head)     0.62 W/kg (body)    ","","","","","","","","","alcatel","","","30","720","124","10.7","64.2","","","","32","480","800","233","5","4.0","57.2"
"OT-993","HSPA 7.2/0.384 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100","HSDPA 900 / 2100","Class 12","GSM / HSPA","Available. Released 2012, August","Mini-SIM","","2012, August","124.4 x 63.9 x 11.4 mm (4.90 x 2.52 x 0.45 in)","150 g (5.29 oz)","480 x 800 pixels (~233 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","4.0 inches (~57.3% screen-to-body ratio)","Mediatek MT6575","Android 4.0 (Ice Cream Sandwich)","1.0 GHz Cortex-A9","PowerVR SGX531","3 GB","microSD, up to 32 GB (dedicated slot)","VGA","Yes","5 MP, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","3.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, IM","Accelerometer, proximity, compass","No","WAP 2.0/xHTML, HTML","Up to 420 h","Removable Li-Ion 1500 mAh battery","","<a href=""#"">3/10</a>","Black, White, Aubergine","","","","","","","","","0.50 W/kg (head)     0.51 W/kg (body)    ","","","","","","","","","alcatel","","","","","124.4","11.4","63.9","150","5.29","","32","480","800","233","5","4.0","57.3"
"OT-995","Class 12","GSM 850 / 900 / 1800 / 1900","HSPA 14.4/5.76 Mbps","HSDPA 900 / 2100","Class 12","GSM / HSPA","Available. Released 2012, February","Mini-SIM","","2012, February","128 x 68 x 9.8 mm (5.04 x 2.68 x 0.39 in)","124 g (4.37 oz)","480 x 800 pixels (~217 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","4.3 inches (~60.5% screen-to-body ratio)","Qualcomm MSM8255T Snapdragon S2","Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)","1.4 GHz Scorpion","Adreno 205","2 GB, 512 MB RAM","microSD, up to 32 GB (dedicated slot)","VGA","720p@30fps","5 MP, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","3.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","Yes, via Java MIDP emulator","WAP 2.0/xHTML, HTML","Up to 360 h (2G) / Up to 288 h (3G)","Removable Li-Ion 1500 mAh battery","","<a href=""#"">5/10</a>","Black, Spicy Red, Fuchsia, Pure White, Black White","","","","","","","","","0.96 W/kg (head)     1.12 W/kg (body)    ","","","","","","","","","alcatel","","","30","720","128","9.8","68","124","4.37","","32","480","800","217","5","4.3","60.5"
"OT-997","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 7.2/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2012, September","Mini-SIM","","2012, August","129.8 x 68 x 11 mm (5.11 x 2.68 x 0.43 in)","143 g (5.04 oz)","480 x 800 pixels (~217 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","4.3 inches (~59.6% screen-to-body ratio)","Mediatek MT6577","Android 4.0 (Ice Cream Sandwich)","Dual-core 1.0 GHz Cortex-A9","PowerVR SGX531u","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","720p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 400 h (2G) / Up to 350 h (3G)","Removable Li-Ion 1800 mAh battery","","<a href=""#"">5/10</a>","Ardesia, White, Dark Red, Orange","","","","","","","","","0.50 W/kg (head)     0.74 W/kg (body)    ","0.50 W/kg (head)     0.74 W/kg (body)    ","Oleophobic coating","","","","","","","alcatel","","","30","720","129.8","11","68","143","5.04","","32","480","800","217","8","4.3","59.6"
"OT-997D","Yes","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 7.2/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2012, September","Dual SIM (Mini-SIM, dual stand-by)","","2012, July","129.8 x 68 x 11 mm (5.11 x 2.68 x 0.43 in)","143 g (5.04 oz)","480 x 800 pixels (~217 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","4.3 inches (~59.6% screen-to-body ratio)","Mediatek MT6577","Android 4.0 (Ice Cream Sandwich)","Dual-core 1.0 GHz Cortex-A9","PowerVR SGX531u","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","720p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 400 h (2G) / Up to 350 h (3G)","Removable Li-Ion 1800 mAh battery","","<a href=""#"">6/10</a>","Black, White","","","","","","","","","","0.50 W/kg (head)     0.74 W/kg (body)    ","","","","","","","","alcatel","","","30","720","129.8","11","68","143","5.04","","32","480","800","217","8","4.3","59.6"
"OT-C507","Class 10","GSM 900 / 1800","","","No","GSM","Cancelled","Mini-SIM","","2007, February","100 x 45 x 14.5 mm (3.94 x 1.77 x 0.57 in)","75g (2.65 oz)","128 x 128 pixels (~121 ppi pixel density)","","TFT, 65K colors","1.5 inches (~16.1% screen-to-body ratio)","","","","","1 MB","microSD (dedicated slot)","No","No","VGA","","Yes","No","Vibration; Polyphonic(64), MP3, M4a, AAC, AAC + (Optional) ringtones","No","1.1","","2.0, A2DP","No","No","SMS, MMS, Instant Messaging","","Yes, MIDP 2.0","WAP 2.0","Up to 300 h","Removable Li-Ion 750 mAh battery","","","Black & Silver with Customizable Keypad","","","","","","800 entries","20 dialed, 20 received, 20 missed calls","2","","","","","","","","","","alcatel","","","","","100","14.5","45","","","","","128","128","121","","1.5","16.1"
"OT-C550","GSM 850 / 1900 - US version","GSM 900 / 1800","","","Class 10","GSM","Discontinued","Mini-SIM","","2006, February","102.5 x 44 x 15.5 mm (4.04 x 1.73 x 0.61 in)","85 g (3.00 oz)","128 x 160 pixels (~114 ppi pixel density)","","CSTN, 65K colors","1.8 inches (~22.6% screen-to-body ratio)","","","","","4 MB","No","No","No","VGA","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS, MMS","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 320 h","Removable Li-Ion 650 mAh battery","","","Black","","","","","","500 entries","10 dialed, 10 received, 10 missed calls","3 embedded","1.00 W/kg (head)    ","1.09 W/kg (head)     0.96 W/kg (body)    ","","","","","","","","alcatel","","","","","102.5","15.5","44","85","3.00","","","128","160","114","","1.8","22.6"
"OT-C551","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","101 x 48 x 19 mm (3.98 x 1.89 x 0.75 in)","80 g (2.82 oz)","128 x 160 pixels","","CSTN, 65K colors","","","","","","3 MB","No","No","Yes","VGA","","No","No","Vibration; Downloadable polyphonic ringtones","No","","Yes","No","No","No","SMS, EMS, MMS","","Yes, MIDP 2.0","WAP 2.0/xHTML","","","","","","","","","","","Yes, Photo call","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","101","19","48","80","2.82","","","","","","","",""
"OT-C552","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 3Q","100 x 47.5 x 18.2 mm (3.94 x 1.87 x 0.72 in)","88 g (3.10 oz)","128 x 160 pixels","","CSTN, 65K colors","","","","","","3 MB","No","No","Yes","VGA","","Yes","No","Vibration; Downloadable polyphonic, WAV, AAC ringtones, composer","No","No","Yes","No","No","No","SMS, MMS, Email","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 245 h","Removable Li-Ion 650 mAh battery","","","3 - Grey, Black, Green","","","","","","500 entries, Photo call","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","100","18.2","47.5","88","3.10","","","","","","","",""
"OT-C555","Class 10","GSM 900 / 1800","","","No","GSM","Cancelled","Mini-SIM","","2005, 1Q","101 x 48 x 18 mm (3.98 x 1.89 x 0.71 in)","80 g (2.82 oz)","128 x 160 pixels","","CSTN, 65K colors","","","","","","10 MB","No","No","Yes","VGA","","Yes, with stereo speakers","No","Vibration; Downloadable polyphonic, MP3, AAC ringtones","No","","Yes","No","No","No","SMS, EMS, MMS, EMail, Instant Messaging","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Black, White","","","","","","Yes, Photo call","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","101","18","48","80","2.82","","","","","","","",""
"OT-C560","Class 10","GSM 900 / 1800 / 1900","","","No","GSM","Discontinued","Mini-SIM","","2006, February","102.5 x 44 x 15.5 mm (4.04 x 1.73 x 0.61 in)","85 g (3.00 oz)","128 x 160 pixels (~114 ppi pixel density)","","CSTN, 65K colors","1.8 inches (~22.6% screen-to-body ratio)","","","","","4 MB","No","No","No","VGA","","No","No","Vibration; Downloadable polyphonic ringtones","No","No","","No","No","No","SMS, MMS","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 320 h","Removable Li-Ion 650 mAh battery","","","Black, Red","","","","","","500 entries, Photo call","10 dialed, 10 received, 10 missed calls","Yes","1.00 W/kg (head)    ","1.00 W/kg (head)     1.30 W/kg (body)    ","","","","","","","","alcatel","","","","","102.5","15.5","44","85","3.00","","","128","160","114","","1.8","22.6"
"OT-C630","GSM 850 / 1900 - US version","GSM 900 / 1800","","","Class 10","GSM","Discontinued","Mini-SIM","","2006, February","88 x 45 x 21 mm (3.46 x 1.77 x 0.83 in)","85 g (3.00 oz)","128 x 160 pixels (~114 ppi pixel density)","","CSTN, 65K colors","1.8 inches (~25.7% screen-to-body ratio)","","","","","4 MB","No","No","No","VGA","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS, MMS","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 320 h","Removable Li-Ion 650 mAh battery","","","Soft Touch Black, Glossy Red","","","","","","500 entries","10 dialed, 10 received, 10 missed calls","3 embedded","1.00 W/kg (head)    ","1.00 W/kg (head)     1.30 W/kg (body)    ","","","","","","","","alcatel","","","","","88","21","45","85","3.00","","","128","160","114","","1.8","25.7"
"OT-C635","GSM 850 / 1900 - US version","GSM 900 / 1800","","","Class 10","GSM","Discontinued","Mini-SIM","","2006","88 x 45 x 21 mm (3.46 x 1.77 x 0.83 in)","85 g (3.00 oz)","128 x 160 pixels (~114 ppi pixel density)","","CSTN, 65K colors","1.8 inches (~25.7% screen-to-body ratio)","","","","","4 MB","No","No","No","VGA","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS, MMS","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 320 h","Removable Li-Ion 650 mAh battery","","","Circles Purple, Flowers White, Surf Blue","","","","","","500 entries","10 dialed, 10 received, 10 missed calls","3 embedded","1.00 W/kg (head)    ","1.34 W/kg (head)     0.60 W/kg (body)    ","","","","","","","","alcatel","","","","","88","21","45","85","3.00","","","128","160","114","","1.8","25.7"
"OT-C651","Class 10","GSM 900 / 1800 / 1900","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","90 x 48 x 24 mm (3.54 x 1.89 x 0.94 in)","92 g (3.25 oz)","128 x 160 pixels","","CSTN, 65K colors","","","","","","4.5 MB","No","No","Yes","VGA","","No","No","Vibration; Downloadable polyphonic, WAV ringtones, composer","No","","Yes","No","No","No","SMS, EMS, MMS, EMail, Instant Messaging","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 290 h","Removable Li-Ion 650 mAh battery","","","Grey, White, Pearl grey","","","","","","500 fields, Photo call","10 dialed, 10 received, 10 missed calls","2 - Speed Devils, Gulo's Tale","","","","","","","","","","alcatel","","","","","90","24","48","92","3.25","","","","","","","",""
"OT-C652","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","90 x 45 x 23 mm (3.54 x 1.77 x 0.91 in)","90 g (3.17 oz)","128 x 160 pixels","","CSTN, 65K colors","","","","","","3 MB","No","No","Yes","VGA","","Yes","No","Vibration; Downloadable polyphonic ringtones","No","","Yes","No","No","No","SMS, EMS, MMS, Email (optional)","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 250 h","Removable Li-Ion 650 mAh battery","","","","","","","","","500 entries, Photo call","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","90","23","45","90","3.17","","","","","","","",""
"OT-C656","Class 10","GSM 900 / 1800","","","No","GSM","Cancelled","Mini-SIM","","2005, 1Q","89 x 48 x 24 mm (3.50 x 1.89 x 0.94 in)","83 g (2.93 oz)","128 x 160 pixels","","CSTN, 65K colors","","","","","","10 MB","No","No","Yes","VGA","","Yes, with stereo speakers","No","Vibration; Downloadable polyphonic, MP3, AAC ringtones","No","","Yes","No","No","No","SMS, EMS, MMS, EMail, Instant Messaging","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 250 h","Removable Li-Ion 650 mAh battery","","","","","","","","","Yes, Photo call","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","89","24","48","83","2.93","","","","","","","",""
"OT-C700A","Class 10","GSM 850 / 1900","","","No","GSM","Discontinued","Mini-SIM","","2007. Released 2007","89 x 45.7 x 22 mm (3.50 x 1.80 x 0.87 in)","83 g (2.93 oz)","128 x 160 pixels (~114 ppi pixel density)","","TFT, 65K colors","1.8 inches (~25.1% screen-to-body ratio)","","","","","2 MB","microSD, up to 2 GB (dedicated slot)","No","Yes","VGA","","Yes","No","Vibration; Polyphonic(64), MP3","No","2.0","","No","No","No","SMS, MMS","","Yes, MIDP 2.0","WAP 2.0 / xHTML","Up to 300 h","Removable Li-Ion 750 mAh battery","Up to 7 h","","Flash Red, Night Black","","","","","","800 entries, Photo call","20 dialed, 20 received, 20 missed calls","2","","0.75 W/kg (head)     1.21 W/kg (body)    ","","","","","","","","alcatel","","","","","89","22","45.7","83","2.93","","2","128","160","114","","1.8","25.1"
"OT-C701","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","89 x 45.7 x 22 mm (3.50 x 1.80 x 0.87 in)","83g (2.93 oz)","128 x 160 pixels (~114 ppi pixel density)","","TFT, 65K colors","1.8 inches (~25.1% screen-to-body ratio)","","","","","10 MB","microSD (dedicated slot)","No","QCIF","VGA","","Yes","No","Vibration; Polyphonic(64), MP3, M4a, AAC, AAC + (Optional) ringtones","No","2.0","","2.0, A2DP","No","No","SMS, MMS, Instant Messaging","","Yes, MIDP 2.0","WAP 2.0","Up to 300 h","Removable Li-Ion 750 mAh battery","Up to 7 h","<a href=""#"">2/10</a>","Soft Touch Black, Soft Touch Blue, Soft Touch Orange","","","","","","800 entries, Photo call","20 dialed, 20 received, 20 missed calls","2","1.00 W/kg (head)    ","0.83 W/kg (head)     1.07 W/kg (body)    ","","","","","","","","alcatel","","","","","89","22","45.7","","","","","128","160","114","","1.8","25.1"
"OT-C707","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","89 x 45.7 x 22.5 mm (3.50 x 1.80 x 0.89 in)","83g (2.93 oz)","128 x 160 pixels (~114 ppi pixel density)","","TFT, 65K colors","1.8 inches (~25.1% screen-to-body ratio)","","","","","10 MB","microSD (dedicated slot)","No","QCIF","VGA","","Yes","No","Vibration; Polyphonic(64), MP3, M4a, AAC, AAC + (Optional) ringtones","No","2.0","","","No","No","SMS, MMS, Instant Messaging","","Yes, MIDP 2.0","WAP 2.0","Up to 300 h","Removable Li-Ion 750 mAh battery","Up to 7 h","","","","","","","","800 entries, Photo call","20 dialed, 20 received, 20 missed calls","2","1.00 W/kg (head)    ","","","","","","","","","alcatel","","","","","89","22.5","45.7","","","","","128","160","114","","1.8","25.1"
"OT-C717","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","91.7 x 45 x 20.8 mm (3.61 x 1.77 x 0.82 in)","85 g (3.00 oz)","128 x 160 pixels (~114 ppi pixel density)","","TFT, 65K colors","1.8 inches (~24.7% screen-to-body ratio)","","","","","10 MB","microSD (dedicated slot)","No","Yes","1.3 MP","","Yes","No","Vibration; Polyphonic(64), MP3, M4a, AAC, AAC + (Optional) ringtones","No","2.0","","2.0, A2DP","No","No","SMS, MMS, Instant Messaging","","Yes, MIDP 2.0","WAP 2.0","Up to 350 h","Removable Li-Ion 720 mAh battery","Up to 7 h","","Silver","","","","","","800 entries","20 dialed, 20 received, 20 missed calls","2","1.00 W/kg (head)    ","1.60 W/kg (head)     1.05 W/kg (body)    ","","","","","","","","alcatel","","","","","91.7","20.8","45","85","3.00","","","128","160","114","1","1.8","24.7"
"OT-C750","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 3Q","102 x 47.5 x 19.8 mm (4.02 x 1.87 x 0.78 in)","85 g (3.00 oz)","128 x 160 pixels","","CSTN, 65K colors","","","","","","3 MB","No","No","Yes","VGA","","No","No","Vibration; Downloadable polyphonic, AAC ringtones","No","No","Yes","No","No","No","SMS, MMS, Email","","Yes, MIDP 2.0","WAP 2.0/xHTML","Up to 245 h","Removable Li-Ion 650 mAh battery","","","Metallic Silver","","","","","","500 entries, Photo call, Videotones","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","102","19.8","47.5","85","3.00","","","","","","","",""
"OT-C825","GSM 850 / 1800 / 1900 - US version","GSM 900 / 1800 / 1900","","","Class 10","GSM","Discontinued","Mini-SIM","","2007, February","96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in)","99g (3.49 oz)","176 x 220 pixels","","TFT, 256K colors","","","","","","10 MB","microSD (dedicated slot)","No","QCIF","1.3 MP","","No","No","Vibration; Polyphonic(64), MP3, MPEG4, AAC ringtones","No","2.0","","2.0, A2DP","No","No","SMS, MMS","","Yes","WAP 2.0","Up to 300 h","Removable Li-Ion 700 mAh battery","","","Brown","","","","","","800 entries","20 dialed, 20 received, 20 missed calls","2","","","","","","","","","","alcatel","","","","","96","18","50","","","","","","","","1","",""
"OT Club db","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2000","122 x 48 x 25 mm, 160 cc (4.80 x 1.89 x 0.98 in)","150 g (5.29 oz)","3 lines","","Alphanumeric","","","","","","","No","","","","","No","No","Monophonic ringtones","No","","","No","No","No","SMS","","No","","up to 130 h","Removable NiMH 650 mAh battery","","","Lapis Grey, Agate Grey","","","","","","","5 dialed, 5 received, 5 missed calls","No","","","","","","","Yes","Yes","","alcatel","","","","","","","","150","5.29","","","","","","","",""
"OT COM","No","GSM 900","","","No","GSM","Discontinued","Mini-SIM","","1998","151 x 62 x 24 mm (5.94 x 2.44 x 0.94 in)","230 g (8.11 oz)","160 x 239 pixels","","Monochrome resistive touchscreen","","","","","","512 KB","No","","","","","No","No","Monophonic ringtones","No","","Yes","No","No","No","SMS, Email","","No","","60 h","Removable NiMH 880 mAh battery","","","Black","","","","","","A lot","20 dialed, 20 received, 20 missed calls","3","","","","","","","Yes","Yes","4","alcatel","","","","","151","24","62","230","8.11","","","","","","","",""
"OT-E100","GSM 850 / 1900 - US version","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2006, February","96 x 42.5 x 19 mm (3.78 x 1.67 x 0.75 in)","76 g (2.68 oz)","102 x 80 pixels","","Color graphic","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Black","","","","","","100 entries","10 dialed, 10 received, 10 missed calls","2 embedded","","","","","","","","","","alcatel","","","","","96","19","42.5","76","2.68","","","","","","","",""
"OT-E101","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","98 x 42.5 x 18.5 mm (3.86 x 1.67 x 0.73 in)","69 g (2.43 oz)","96 x 64 pixels (~89 ppi pixel density)","","Monochrome graphic","1.3 inches (~12.1% screen-to-body ratio)","","","","","","No","","","","","No","No","Vibration; Polyphonic(8) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 720 mAh battery","","","Black","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","0.96 W/kg (head)    ","1.24 W/kg (head)     0.62 W/kg (body)    ","","","","","","","","alcatel","","","","","98","18.5","42.5","69","2.43","","","96","64","89","","1.3","12.1"
"OT-E105","GSM 850 / 1900 - US version","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2006, February","96 x 42.5 x 19 mm (3.78 x 1.67 x 0.75 in)","76 g (2.68 oz)","102 x 80 pixels","","Monochrome graphics","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Silver","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2 embedded","","","","","","","","","","alcatel","","","","","96","19","42.5","76","2.68","","","","","","","",""
"OT-E157","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","96 x 42 x 20 mm (3.78 x 1.65 x 0.79 in)","76 g (2.68 oz)","102 x 80 pixels","","Grayscale graphic","","","","","","","No","","","","","No","No","Vibration; Downloadable polyphonic ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Night Blue, Metallic Black","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","96","20","42","76","2.68","","","","","","","",""
"OT-E158","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","97 x 43 x 19 mm (3.82 x 1.69 x 0.75 in)","78 g (2.75 oz)","102 x 80 pixels","","Grayscale graphic, STN","","","","","","","No","","","","","No","No","Vibration; Downloadable polyphonic ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Glossy Black, Metallic Purple, Pearl Grey","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","97","19","43","78","2.75","","","","","","","",""
"OT-E159","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in)","77 g (2.72 oz)","102 x 80 pixels","","STN, monochrome graphics","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 275 h","Removable Li-Ion 650 mAh battery","","","Thinking Black, Metallic Blue, Lipstick Red","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","Yes","","","","","","","","","","alcatel","","","","","83","22","43","77","2.72","","","","","","","",""
"OT-E160","","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 3Q","83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in)","77 g (2.72 oz)","102 x 80 pixels","","STN, monochrome graphics","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","","Up to 275 h","Removable Li-Ion 650 mAh battery","","","Dark Chrome","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2 - Bricks, Russia","","","","","","","","","","alcatel","","","","","83","22","43","77","2.72","","","","","","","",""
"OT-E201","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","98 x 42.5 x 18.5 mm (3.86 x 1.67 x 0.73 in)","69 g (2.43 oz)","96 x 76 pixels","","CSTN, 65K colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(8) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 720 mAh battery","","","Black","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","1.10 W/kg (head)    ","1.49 W/kg (head)     0.61 W/kg (body)    ","","","","","","","","alcatel","","","","","98","18.5","42.5","69","2.43","","","","","","","",""
