"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"Idol X+","Yes","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 21.1/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2014, Q2","Dual SIM (Micro-SIM, dual stand-by)","","2014, January","140.4 x 69.1 x 7.9 mm (5.53 x 2.72 x 0.31 in)","125 g (4.41 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes, up to 5 fingers","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~71.0% screen-to-body ratio)","Mediatek MT6592","Android 4.2.1 (Jelly Bean), upgradable to 4.4.4 (KitKat)","Octa-core 2.0 GHz Cortex-A7","Mali-450MP4","16 GB/ 32 GB (optional), 2 GB RAM","No","2 MP, 1080p@30fps","1080p@30fps,","13.1 MP, autofocus, LED flash,","Geo-tagging, touch focus, face detection, panorama","","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 320 h (2G) / Up to 240 h (3G)","Non-removable Li-Ion 2500 mAh battery","Up to 20 h (2G) / Up to 12 h (3G)","<a href=""#"">6/10</a>","Black, White","","","","","","","","","","","Corning Gorilla Glass 2","","","","","","","alcatel","","","30","1080","140.4","7.9","69.1","125","4.41","2","","1080","1920","441","13","5.0","71.0"
"Pixi 7","No","N/A","","","No","No cellular connectivity","Available. Released 2014, July","No","","2014, February","9.9 mm thickness","285 g (10.05 oz)","540 x 960 pixels (~157 ppi pixel density)","Yes","TFT capacitive touchscreen","7.0 inches (~62.3% screen-to-body ratio)","Mediatek MT8117","Android 4.4.2 (KitKat)","Dual-core 1.2 GHz","","4 GB, 1 GB RAM (LATAM), 512 MB RAM (EMEA)","microSD, up to 32 GB (dedicated slot)","VGA","Yes","VGA","","Yes","Yes","Vibration; MP3, WAV ringtones","Yes","microUSB 2.0","","","No","No","Email, Push Email, IM","","No","HTML","Non-removable Li-Ion 2840 mAh battery","","","<a href=""#"">2/10</a>","Bluish Black, Gun Gray/ Color Skins","","","","","","","","","","","","","","","","","","alcatel","","","","","","","","285","10.05","","32","540","960","157","","7.0","62.3"
"POP 7","HSPA 21.1/5.76 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2014, Q2","Micro-SIM","","2014, January","192 x 113 x 8.9 mm (7.56 x 4.45 x 0.35 in)","285 g (10.05 oz)","600 x 1024 pixels (~170 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","7.0 inches (~63.6% screen-to-body ratio)","Mediatek MT8312","Android 4.2 (Jelly Bean)","Dual-core 1.3 GHz Cortex-A7","Mali-400","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","720p","2 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","4.0, A2DP","No","Yes","Email, Push Email, IM","","No","HTML","","Non-removable Li-Ion 3240 mAh battery","","<a href=""#"">4/10</a>","White","","","","","","","","","","","","","","","","","","alcatel","","","","","192","8.9","113","285","10.05","","32","600","1024","170","2","7.0","63.6"
"POP 7S","HSPA 21.1/5.76 Mbps, LTE","GSM 850 / 900 / 1800 / 1900","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - P330A","HSDPA 900 / 2100","Yes","GSM / HSPA / LTE","Available. Released 2014, Q2","Yes","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - P330X","2014, January","192 x 113 x 9 mm (7.56 x 4.45 x 0.35 in)","279 g (9.84 oz)","600 x 1024 pixels (~170 ppi pixel density)","Yes","IPS LCD capacitive touchscreen","7.0 inches (~63.6% screen-to-body ratio)","Qualcomm MSM8926 Snapdragon 400","Android 4.4.2 (KitKat)","Quad-core 1.2 GHz Cortex-A7","Adreno 305","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","Yes","3 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","4.0, A2DP","No","Yes","Email, Push Email, IM","","No","HTML","","","","<a href=""#"">4/10</a>","White, Black/ color back panels","","","","","","","","","","","","","","","","","","alcatel","","","","","192","9","113","279","9.84","","32","600","1024","170","3","7.0","63.6"
"POP 8","HSPA 21.1/5.76 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2014, Q2","Yes","","2014, January","209 x 123 x 7.9 mm (8.23 x 4.84 x 0.31 in)","325 g (11.46 oz)","800 x 1280 pixels (~189 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","8.0 inches (~72.2% screen-to-body ratio)","Mediatek MT8382","Android 4.2 (Jelly Bean)","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","4 GB, 1 GB RAM","microSD, up to 64 GB (dedicated slot)","VGA","Yes","2 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n","microUSB 2.0","","4.0, A2DP","No","Yes","Email, Push Email, IM","","No","HTML","","Non-removable Li-Ion 4100 mAh battery","","","White","","","","","","","","","","","","","","","","","","alcatel","","","","","209","7.9","123","325","11.46","","64","800","1280","189","2","8.0","72.2"
"Pop C9","Yes","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 21.1/5.76 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA","Available. Released 2014, June","Dual SIM, (Micro-SIM, dual stand-by)","","2014, January","151 x 77.5 x 9.5 mm (5.94 x 3.05 x 0.37 in)","189 g (6.67 oz)","540 x 960 pixels (~200 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.5 inches (~71.3% screen-to-body ratio)","","Android 4.2 (Jelly Bean)","Quad-core 1.3 GHz","","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p","8 MP, autofocus, LED flash","Geo-tagging","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA (optional)","microUSB 2.0","","4.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity","No","HTML","Up to 560 h (2G) / Up to 550 h (3G)","Non-removable Li-Ion 2500 mAh battery","Up to 8 h (2G) / Up to 4 h (3G)","<a href=""#"">3/10</a>","Bluish Black, Cherry Red, Full White, Hot Pink, Fresh Turquoise","","","","","","","","","","","Oleophobic coating","","","","","","","alcatel","","","","","151","9.5","77.5","189","6.67","2","32","540","960","200","8","5.5","71.3"
"Pop Fit","HSDPA 850 / 1900 - 4002A","GSM 900 / 1800 - 4002X","HSDPA 900 / 2100 - 4002X","GSM 850 / 1900 - 4002A","HSPA 21.1/5.76 Mbps","GSM / HSPA","Cancelled","Yes","","2014, February","97 x 56.2 x 12 mm (3.82 x 2.21 x 0.47 in)","78 g (2.75 oz)","240 x 320 pixels (~143 ppi pixel density)","No","TFT capacitive touchscreen, 256K colors","2.8 inches (~44.5% screen-to-body ratio)","","Android 4.2.2 (Jelly Bean)","Dual-core 1.0 GHz","","4 GB, 512 MB RAM","microSD, up to 32 GB (dedicated slot)","No","480p@30fps","2 MP, LED flash (4002X)","Geo-tagging, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct","microUSB 2.0","","4.0, A2DP","FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email","Accelerometer, proximity (4002X)","No","HTML","Up to 256 h (2G) / Up to 185 h (3G)","Removable Li-Ion 1000 mAh battery","Up to 4 h 40 min (2G) / Up to 5 h (3G)","<a href=""#"">2/10</a>","Red, Hot Pink, Slate, Fresh Turquoise, Flash Yellow","","","","","","","","","","","","","Yes (optional)","","","","","alcatel","","","30","480","97","12","56.2","78","2.75","","32","240","320","143","2","2.8","44.5"
"Pop S3","LTE band 1(2100), 3(1800), 7(2600), 8(900), 28(700) - 5050S","GSM 850 / 900 / 1800 / 1900","LTE band 1(2100), 2(1900), 4(1700/2100), 7(2600), 17(700) - 5050A","HSDPA 850 / 900 / 2100","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","GSM / HSPA / LTE","Available. Released 2014, Q2","Yes","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - 5050Y","2014, February","123 x 64.4 x 9.9 mm (4.84 x 2.54 x 0.39 in)","130 g (4.59 oz)","480 x 800 pixels (~233 ppi pixel density)","Yes, up to 2 fingers","TFT capacitive touchscreen, 16M colors","4.0 inches (~57.5% screen-to-body ratio)","","Android 4.3 (Jelly Bean)","Quad-core 1.2 GHz","","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","1080p","5 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","FM radio, RDS","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 400 h","Removable Li-Ion 2000 mAh battery","","<a href=""#"">3/10</a>","Midnight Blue, Dark  Chocolate, Dark Aubergine, White, Red,  Orange, Yellow, Green, Purple","","","","","","","","","","","","","Yes","","","","","alcatel","","","","","123","9.9","64.4","130","4.59","","32","480","800","233","5","4.0","57.5"
"Pop S7","Yes","GSM 850 / 900 / 1800 / 1900","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","HSDPA 900 / 2100","Yes","GSM / HSPA / LTE","Available. Released 2014, Q2","Yes","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - 7045Y","2014, February","141 x 72 x 9.4 mm (5.55 x 2.83 x 0.37 in)","162 g (5.71 oz)","540 x 960 pixels (~220 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~67.9% screen-to-body ratio)","","Android 4.4.2 (KitKat)","Quad-core 1.3 GHz","","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","1080p","5 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","FM radio, RDS","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 480 h (2G) / Up to 360 h (3G)","Removable Li-Ion 3000 mAh battery","","<a href=""#"">3/10</a>","Midnight Blue, Dark Chocolate, Dark Aubergine, White/ purple, green, red, orange, yellow back panels","","","","","","","","","","","","","Yes","","","","","alcatel","","","","","141","9.4","72","162","5.71","","32","540","960","220","5","5.0","67.9"
"Pop S9","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 17(700) - 7050W","HSDPA 850 / 900 / 2100","Yes","GSM / HSPA / LTE","Available. Released 2014, Q2","Single SIM or Dual SIM (dual stand-by)","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - 7050Y","2014, February","162.4 x 84.4 x 8.6 mm (6.39 x 3.32 x 0.34 in)","182 g (6.42 oz)","720 x 1280 pixels (~249 ppi pixel density)","Yes, up to 5 fingers","IPS LCD capacitive touchscreen, 16M colors","5.9 inches (~70.0% screen-to-body ratio)","","Android 4.3 (Jelly Bean)","Quad-core 1.2 GHz","","8 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","FM radio, RDS","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML","Up to 425 h","Removable Li-Ion 3400 mAh battery","","<a href=""#"">6/10</a>","Midnight Blue, Dark Chocolate, Dark Aubergine, White/ purple, green, red, orange, yellow back panels","","","","","","","","","","","","","Yes","","","","","alcatel","","","","","162.4","8.6","84.4","182","6.42","2","32","720","1280","249","8","5.9","70.0"
